courseId,termCode,termName,associatedAcademicCareer,associatedAcademicGroupCode,associatedAcademicOrgCode,subjectCode,catalogNumber,title,descriptionAbbreviated,description,gradingBasis,courseComponentCode,enrollConsentCode,enrollConsentDescription,dropConsentCode,dropConsentDescription,requirementsDescription
3294,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,232,Life Contingencies 1,Life Contingencies 1,"The future lifetime random variable: probability and survival functions; force of mortality; complete and curtate expectation of life; Makeham and Gompertz mortality laws. Life tables: characteristics of population and insurance life tables;  selection; fractional age assumptions. Life insurance payments and annuity payments: present value random variables; expected present values; higher moments; actuarial notation. Annual, 1/mthly and continuous cases. Relationships between insurance and annuity functions. Premiums: expense loadings. Present value of future loss random variables and distribution, net and gross cases. Equivalence principle. Portfolio percentile principle. Extra risks. [Note: Students who have met the ELPE requirement must contact their ACTSC advisor. Offered: F,W,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: (At least 60% in ACTSC 231) and (STAT 230 or 240) and (at least 60% in MTHEL 131). Not open to students who received credit for ACTSC 331.
13390,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,612,Life Insurance Mathematics I,Life Insurance Mathematics I,Models for future lifetime; insurance and annuity functions; life tables and their use; future loss random variable for a contract; calculations of premiums and reserves; standard international actuarial notation.,NUM,LEC,D,No Consent Required,N,No Consent Required,
3308,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,453,Basic Pension Mathematics,Basic Pension Mathematics,"Theory and practice of pension plan funding. Assumptions, basic actuarial functions, and population theory applied to private pensions. Concepts of normal costs, supplemental liability, unfunded liability arising from individual accrued benefit, and projected benefit cost methods.",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: ACTSC 331; Actuarial Science or Mathematical Finance students only
78,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,855,Life Contingencies 3,Life Contingencies 3,"Profit testing for traditional and non-traditional life insurance. Pricing and valuation of embedded options in life insurance products. Defined benefit and defined contribution pension plan design. Theory and practice of unit credit methods for pension plan funding and valuation for final average salary, career average earnings, and career average revalued earnings pension plans; post-retirement health benefits.",NUM,LEC,N,No Consent Required,N,No Consent Required,
13389,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,611,Financial Mathematics I,Financial Mathematics I,Time value of money; simple and compound interest and discount; real returns; equations of value; loan schedules; valuation of fixed coupon bonds; valuation of real return bonds; term structure of interest rates; no arbitrage pricing; valuation of forward contracts; valuation of interest rate swaps. Duration and Immunization,NUM,LEC,D,No Consent Required,N,No Consent Required,
13396,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,623,Applied Statistics,Applied Statistics,Generalized linear models: multiple linear regression and normal linear model; exponential family; link functions; linear predicators; estimation; testing. Time series: Univariate ARIMA; multivariate AR; ARCH and other non-linear models.,NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
13399,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,631,Financial Mathematics III,Financial Mathematics III,"Binomial and lattice models for option pricing. Black-Scholes option pricing. Hedging option greeks. Exotic options. Term structure models including Vasicek, Cox-Ingersoll-Ross, Hull-White, Black-Derman-Toy. Interest rate options.",NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
16161,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,431,Casualty and Health Insurance Mathematics 2,Casualty & Hlth Insur Math 2,"Advanced models for loss frequency: (a, b, 1) class, mixed and compound Poisson models; concept of infinite divisibility; advanced models for loss severity: combination of exponentials, mixed Erlang, extreme value distributions; measure of distribution tails; impact of policy adjustments on loss frequency and severity; estimation; advanced aggregate claims models: properties, analytic results, (double) recursion, and pricing; risk measures. Other topics which may be covered include aggregate claim models with dependence, time-dependent claims, and ruin theory. [Offered: F,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: ACTSC 363 with a grade of at least 60%, STAT 330; Actuarial Science or Mathematical Finance students only"
14535,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,469,Readings in Actuarial Science 2,Readings in ACTSC 2,Reading course as announced by the department.,NUM,RDG,N,No Consent Required,N,No Consent Required,Prereq: Actuarial Science or Mathematical Finance students only
3305,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,446,Mathematics of Financial Markets,Math of Financial Markets,"This course covers mathematical techniques for no-arbitrage pricing and hedging financial derivatives. Topics to be covered can be classified into three broad areas: derivatives markets (options; forwards and futures; other derivatives; put-call parity), discrete-time financial models (binomial models; general multi-period models; Fundamental Theorems of Asset Pricing; risk-neutral probability), and continuous-time financial models (basic stochastic calculus and Itô's lemma; Black-Scholes model; interest rate models and bond pricing). [Offered: F,W]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: (AFM 372/ACTSC 391 or (ACTSC 231&371) or (ACTSC 231&BUS 393W)), (STAT 333 or 334); ACTSC, Math/FARM, Math Fin, STAT students only. Antireq: AFM 322, BUS 423W, ECON 372, MATBUS 470"
12044,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,372,Corporate Finance,Corporate Finance,"Capital budgeting. Real options. Investment decision using Markowitz and utility theory. Capital asset pricing model. Arbitrage pricing theory. Market efficiency. Capital structure and dividend policy. Advanced topics. [Offered: F,W,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: ACTSC 371 and (MATH 207 or 237 or 247) Antireq: AFM 272/ACTSC 291, AFM 273, 274, AFM 372/ACTSC 391, BUS 393W, ECON 371"
3293,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,231,Introductory Financial Mathematics,Intro Financial Mathematics,"The theory of rates of interest and discount including the theoretical continuous case of forces of interest and discount. Annuities and sinking funds, including the continuous case. Practical and theoretical applications primarily to mortgages and bonds. Yield rates. [Offered: F,W,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: MATH 137 or 147 and (STAT 220 with a grade of at least 70% or a corequisite of STAT 230 or 240); Level at least 2A; Not open to students who have received credit for ACTSC 232. Antireq: ACTSC 221
13402,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,634,Quantitative Risk Management,Quantitative Risk Management,"This course combines enterprise and quantitative risk management to provide a comprehensive coverage of risk management science with applications in finance, insurance and corporate governance. Topics covered include: risk taxonomy; risk measures; extreme value theory; copulas; stress and scenario testing; interest rate risk management, credit risk management; regulation, including Basel, Basel 3 and Solvency 2; risk adjusted return; capital allocation.",NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
11274,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,963,Insurance Surplus Mathematics,Insurance Surplus Mathematics,"The analysis of the development over time of the surplus on a portfolio of insurance business is considered.  The classical Poisson and Sparre Andersen risk models are studied.  Unified treatment of moments and distributions of quantities related to the event of ruin is done through a discounted penalty function approach.  Random variables of interest include the time of ruin itself, the deficit immediately after ruin occurs, and the surplus immediately prior to ruin.  Defective renewal equations and Laplace transforms are utilized extensively.  Prerequisites are familiarity with aggregate loss models at the level of ActSc 431/831 or equivalent.",NUM,LEC,N,No Consent Required,N,No Consent Required,
44,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,970,Finance 1,Finance 1,"The course introduces options and other derivative securities in different asset classes. The main focus is on methods of pricing in a multi-period setting, but continuous-time models are also discussed. Topics may include no-arbitrage pricing theory, the fundamental theory of asset pricing, complete and incomplete markets,and pricing of complex financial instruments.",NUM,LEC,N,No Consent Required,N,No Consent Required,
16363,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,854,Longevity and Mortality Using Predictive Analytics,Mortality Pred Analytics,Kaplan-Meier and Nelson-Aalen estimators for survival functions. Kernel density models. Validation of mortality tables. Estimators for Markov multiple state transition intensities. Longevity models including deterministic and stochastic models such as Lee-Carter and Cairns-Blake-Dowd.,NUM,LEC,N,No Consent Required,N,No Consent Required,
16131,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,870,Short Course in Actuarial Science,Short Course in Actuarial Sci,,NUM,LEC,N,No Consent Required,N,No Consent Required,
11751,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,391,Corporate Finance 2,Corporate Finance 2,This course is a continuation of AFM 272/ACTSC 291. Topics to be explored are covered under the listing for AFM 272/ACTSC 291.,NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: AFM 272/ACTSC 291; Computing and Financial Management, Mathematics/Chartered Professional Accountancy students. Antireq: AFM 274, ACTSC 372, ECON 371"
11275,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,964,Topics in Quantitative Risk Management,Topics in Quant Risk Mngmt,"Fundamental concepts in quantitative risk management. Topics typically include: risk measures, extreme value theory, multivariate distributions and copulas. This course has a focus on mathematical and statistical techniques. Other topics may be covered at the discretion of the instructor.",NUM,LEC,N,No Consent Required,N,No Consent Required,
